               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.041199,            0.011603,           0.0075713,             0.86196,             0.55367,             0.59835,             0.28975,            0.041423,           0.0088696,           0.0093639,           0.0094138,           0.0094138,           0.0094138
                 117,            0.041286,            0.011511,           0.0072865,             0.87213,             0.57736,             0.61641,             0.29829,            0.041213,           0.0086433,           0.0087785,           0.0094038,           0.0094038,           0.0094038
                 118,            0.040851,            0.011536,           0.0067113,             0.87005,             0.55956,             0.60808,             0.29078,            0.042013,           0.0088029,           0.0099215,           0.0093937,           0.0093937,           0.0093937
                 119,            0.040377,            0.011661,           0.0076877,             0.83581,             0.56189,              0.5979,              0.2926,            0.041415,           0.0090286,            0.012139,           0.0093836,           0.0093836,           0.0093836
                 120,            0.040806,            0.010986,           0.0076125,             0.84743,             0.54578,             0.59425,             0.27863,            0.042516,           0.0091271,            0.010194,           0.0093733,           0.0093733,           0.0093733
                 121,            0.041185,            0.011156,           0.0073392,              0.8502,             0.56818,             0.61274,             0.29802,             0.04123,           0.0088027,           0.0095471,            0.009363,            0.009363,            0.009363
                 122,            0.040607,            0.011305,           0.0076345,             0.86562,             0.54323,             0.60421,             0.28982,            0.041877,           0.0089174,            0.010045,           0.0093526,           0.0093526,           0.0093526
                 123,              0.0402,            0.011323,           0.0066184,             0.90213,              0.5375,             0.62001,             0.30832,            0.041565,           0.0087948,           0.0089827,           0.0093421,           0.0093421,           0.0093421
                 124,            0.040877,            0.011503,           0.0070371,               0.857,             0.55346,             0.60049,             0.29477,            0.041338,            0.008782,            0.010933,           0.0093316,           0.0093316,           0.0093316
                 125,            0.040094,            0.011501,           0.0068581,             0.87365,             0.55701,             0.61544,             0.31185,            0.039964,           0.0087707,            0.010083,            0.009321,            0.009321,            0.009321
                 126,            0.040589,            0.011473,           0.0066551,             0.89424,             0.53553,             0.60889,               0.302,            0.040613,           0.0088462,           0.0099407,           0.0093103,           0.0093103,           0.0093103
                 127,            0.040595,            0.011319,           0.0071792,              0.8716,             0.55462,             0.61203,              0.2991,            0.041299,           0.0088494,           0.0091735,           0.0092995,           0.0092995,           0.0092995
